"Date","mar_Open","mar_High","mar_Low","mar_Close","mar_Volume","mar_TWAP","mar_VWAP","mar_PreviousCloseDate","hlt_Open","hlt_High","hlt_Low","hlt_Close","hlt_Volume","hlt_TWAP","hlt_VWAP","hlt_PreviousCloseDate"
"2022-01-18",146.3,146.535,143.78,144.52,2852656,144.877047,144.849977,"2022-01-14",160.12,161.11,157.68,159.51,2087795,159.619398,159.659932,"2022-01-14"
"2022-01-14",149.15,149.43,146.45,147.98,2718527,147.538344,147.607803,"2022-01-13",163.89,164.4212,159.72,162.8,1886383,161.587492,161.807066,"2022-01-13"
"2022-01-13",150.59,152.09,149.06,149.9,2234285,150.621124,150.558518,"2022-01-12",164.94,167.3,164.1,164.51,1619741,165.477478,165.419946,"2022-01-12"
"2022-01-12",153.93,154.14,149.71,150,2010170,150.57339,150.505211,"2022-01-11",166.35,166.87,162.66,164.86,1606565,164.330551,164.385347,"2022-01-11"
"2022-01-11",149.19,153.51,147.75,152.5,3488341,150.679546,150.699363,"2022-01-10",161.97,165.65,160.07,165.2,2141150,163.077496,163.357974,"2022-01-10"
"2022-01-10",150.84,152.04,146.04,148.61,2652318,148.072524,148.220774,"2022-01-07",167.25,167.88,160.13,162.05,2228632,161.8701,162.088656,"2022-01-07"
"2022-01-07",152.57,155.03,151.97,152,2040167,153.262188,153.146282,"2022-01-06",166,168.75,164.69,166.66,1508821,167.49891,167.331883,"2022-01-06"
"2022-01-06",152.24,153.6,150.91,152.18,1782303,152.612729,152.583701,"2022-01-05",165.3,166.463,164.23,165.22,1421790,165.296721,165.302949,"2022-01-05"
"2022-01-05",156.22,156.46,151.78,151.8,1339861,154.00857,153.658495,"2022-01-04",168.27,169,164.33,164.37,1656732,166.37355,165.980183,"2022-01-04"
"2022-01-04",157.49,159.2059,155.95,155.96,2043109,157.449282,157.277786,"2022-01-03",166.77,171.155,165.8,168.01,2131595,168.97668,168.844408,"2022-01-03"
"2022-01-03",155.95,157.145,152.75,154.48,1712655,154.737399,154.838011,"2021-12-31",165.07,166.4122,161.23,163.91,1836948,163.920411,163.926849,"2021-12-31"
"2021-12-31",154.83,156.97,154.58,155.99,1187324,156.074794,156.017647,"2021-12-30",164.85,166.18,164.07,165.24,902689,165.555858,165.452412,"2021-12-30"
"2021-12-30",155.38,156.69,154.43,154.98,1474199,155.359627,155.223358,"2021-12-29",166.55,167.98,164.73,164.86,840916,166.058769,165.840681,"2021-12-29"
"2021-12-29",154.43,155.81,154.05,155.37,893369,155.201629,155.238391,"2021-12-28",166.35,167.5763,165.5,166.55,905630,166.75506,166.674276,"2021-12-28"
